	question	class
0	Formulář žádosti o mezinárodní zápis ochranné známky.	0
1	žádost o mezinárodní zápis ochranné známky.	0
2	Jak zaregistrovat ochrannou známku do zahraničí?	0
3	kde zaregistrovat ochrannou známku do zahraničí?	0
4	Chci zaregistrovat ochrannou známku do zahraničí.	0
5	Mezinárodní ochranné známky.	0
6	Kde najdu žádost k přihlášení do zahraničí?	0
7	Jak najdu žádost k přihlášení do zahraničí?	0
8	Formulář žádosti o mezinárodní zápis patentu.	0
9	žádost o mezinárodní zápis patentu.	0
10	Formulář žádosti o mezinárodní přihlášku patentu.	0
11	žádost o mezinárodní přihlášku patentu.	0
12	Jak přihlásit patent do zahraničí?	0
13	Jak zaregistrovat patent do zahraničí?	0
14	Jak přihlásit vynález do zahraničí?	0
15	Jak zaregistrovat vynález do zahraničí?	0
16	Chci přihlásit patent do zahraničí.	0
17	Chci zaregistrovat patent do zahraničí.	0
18	Chci přihlásit vynález do zahraničí.	0
19	Chci zaregistrovat vynález do zahraničí.	0
20	Mezinárodní patenty.	0
21	Formulář žádosti o mezinárodní zápis užitného vzoru.	0
22	žádost o mezinárodní zápis užitného vzoru.	0
23	Formulář žádosti o mezinárodní přihlášku užitného vzoru.	0
24	žádost o mezinárodní přihlášku užitného vzoru.	0
25	Jak přihlásit užitný vzor do zahraničí?	0
26	Jak zaregistrovat užitný vzor do zahraničí?	0
27	Mezinárodní užitný vzor .	0
28	Mezinárodní užitné vzory.	0
29	Formulář žádosti o mezinárodní zápis průmyslového vzoru.	0
30	žádost o mezinárodní zápis průmyslového vzoru.	0
31	Formulář žádosti o mezinárodní přihlášku průmyslového vzoru.	0
32	žádost o mezinárodní přihlášku průmyslového vzoru.	0
33	Jak přihlásit průmyslový vzor do zahraničí?	0
34	Jak zaregistrovat průmyslový vzor do zahraničí?	0
35	Jak zapsat průmyslový vzor do zahraničí?	0
36	Mezinárodní průmyslový vzor .	0
37	Mezinárodní průmyslové vzory.	0
38	Co chrání autorské právo?	1
39	Na koho se vztahují práva související s autorským právem?	1
40	Jak dlouho platí autorské právo?	1
41	Je nutné autorské právo někde registrovat ?	1
42	Je nutné autorské právo někde zapsat?	1
43	Co je možné dělat s dílem bez autorova souhlasu?	1
44	Co je považováno za legální užití autorského díla?	1
45	Kdo má na starosti autorské právo v České republice?	1
46	užití autorského díla	1
47	Jaká jsou omezení autorského práva?	1
48	Co se stane, pokud někdo poruší autorské právo?	1
49	Co se stane, když někdo poruší autorské právo?	1
50	Kam se obrátit s dotazy k autorskému právu ?	1
51	Kam se obrátit s dotazy k autorským právům?	1
52	Co je možné bez souhlasu autora?	1
53	Co můžu bez souhlasu autora?	1
54	Co lze bez souhlasu autora?	1
55	Mám autorské dílo registrovat?	1
56	musím autorské dílo registrovat?	1
57	musí se autorské dílo registrovat?	1
58	kde autorské dílo registrovat?	1
59	Kdy vzniká autorské právo?	1
60	Co je to stížnost?	2
61	Kde mohu najít informace o stížnostech?	2
62	Kde můžu najít informace o stížnostech?	2
63	Kde lze najít informace o stížnostech?	2
64	Kam má být stížnost podána?	2
65	Kam musí být stížnost podána?	2
66	Co může být předmětem stížnosti?	2
67	Jaký je účel podání stížnosti?	2
68	Kdo může podat stížnost?	2
69	Kdo je oprávněn podat stížnost?	2
70	Co se stane po podání stížnosti?	2
71	Jak může být stížnost vyřešena?	2
72	Jaké jsou možné reakce Úřadu na stížnost?	2
73	právní předpisy týkající se stížností	2
74	Kam podat stížnost?	2
75	Jak podat stížnost?	2
76	Jak může vypadat rozhodnutí o stížnosti?	2
77	Jak vypadá rozhodnutí o stížnosti?	2
78	Kdo vydává Věstník?	3
79	Jak často je vydáván Věstník?	3
80	Jaké informace najdu ve Věstníku?	3
81	Jaké informace jsou zveřejňovány ve Věstníku?	3
82	Jsou v Věstníku informace o patentech ?	3
83	Jsou v Věstníku informace o vynálezech?	3
84	Zveřejňuje Věstník informace o ochranných známkách?	3
85	Jsou ve Věstníku informace o zapsaných průmyslových vzorech?	3
86	Jsou v Věstníku údaje o užitných vzorech?	3
87	Jsou v Věstníku informace o užitných vzorech?	3
88	Kde mohu najít Věstník?	3
89	Kde najdu Věstník?	3
90	Kde najdu právní předpisy týkající se ochrany průmyslového vlastnictví?	4
91	Kde jsou právní předpisy týkající se ochrany průmyslového vlastnictví?	4
92	Na jaké stránce jsou uvedeny právní předpisy o průmyslovém vlastnictví ?	4
93	Na jaké stránce jsou uvedeny právní předpisy o průmyslových právech?	4
94	Kde jsou právní předpisy o patentech ?	4
95	Kde jsou právní předpisy o průmyslových vzorech ?	4
96	Kde jsou právní předpisy o užitných vzorech ?	4
97	Kde jsou právní předpisy o ochranných známkách?	4
98	Mezinárodní právní předpisy.	4
99	Kde najdu mezinárodní právní předpisy?	4
100	Kde mohu najít mezinárodní právní předpisy?	4
101	Kde můžu najít mezinárodní právní předpisy?	4
102	Právní předpisy EU .	4
103	Právní předpisy Evropské unie.	4
104	Kde najdu evropské právní předpisy?	4
105	Jaké jsou předpisy EU ?	4
106	Jaké jsou předpisy Evropské unie?	4
107	Kde najdu právní předpisy?	4
108	Kde jsou dostupné právní předpisy?	4
109	právní předpisy	4
110	přehled právních předpisů	4
111	Kde mohu najít kontakty na Úřad?	5
112	Kde najdu kontakty?	5
113	základní kontakty na úřad	5
114	Má úřad infocentrum?	5
115	jak kontaktovat Úřad průmyslového vlastnictví ?	5
116	jak kontaktovat UPV?	5
117	Kde najdu informace o provozu podatelny Úřadu?	5
118	Kde jsou informace o provozu podatelny Úřadu?	5
119	Kde najdu podatelnu úřadu?	5
120	Kde je podatelna úřadu?	5
121	Kde se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
122	kam se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
123	Kdo mi může poskytnout všeobecné informace ?	5
124	Kdo mi může poskytnout obecné informace ?	5
125	Kde najdu infocentrum?	5
126	Kde je infocentrum?	5
127	Kde najdu pomoc s přihláškou?	6
128	Kde mohu najít pomoc s přihláškou?	6
129	Kdo mi poskytne odborné zastoupení?	6
130	Kdo mi může poskytnout odborné zastoupení?	6
131	Je nějaké odborné zastoupení?	6
132	kde najdu odborné zastoupení?	6
133	Může mi někdo pomoci s přihláškou ?	6
134	Může mi někdo pomoci s přihlašováním?	6
135	patentoví zástupci	6
136	Kdo mi pomůže s přihláškou?	6
137	Kdo může pomoci s přihláškou?	6
138	pomoc s přihláškou	6
139	pomoc s podáním	6
140	Může úřad pomoci s přihláškou?	6
141	Může úřad pomoct s přihláškou?	6
142	Jak postupovat při prodloužení platnosti patentu?	7
143	Jak se postupuje při prodloužení platnosti patentu?	7
144	Jak udržet patent v platnosti?	7
145	Jak udržovat patent v platnosti?	7
146	Jak prodloužit patent?	7
147	Jak obnovit patent?	7
148	Podává se k prodloužení patentu žádost?	7
149	Podává se k obnově patentu žádost?	7
150	Jak udržet užitný vzor v platnosti?	7
151	Jak udržovat užitný vzor v platnosti?	7
152	Jak prodloužit užitný vzor?	7
153	Jak obnovit užitný vzor?	7
154	poplatky za udržování užitného vzoru v platnosti	7
155	poplatek za udržování užitného vzoru v platnosti	7
156	Podává se k prodloužení užitného vzoru žádost?	7
157	Podává se k obnově užitného vzoru žádost?	7
158	Jak udržet průmyslový vzor v platnosti?	7
159	Jak udržovat průmyslový vzor v platnosti?	7
160	Jak prodloužit průmyslový vzor?	7
161	Jak obnovit průmyslový vzor?	7
162	poplatky za udržování průmyslového vzoru v platnosti	7
163	poplatek za udržování průmyslového vzoru v platnosti	7
164	Podává se k prodloužení průmyslového vzoru žádost?	7
165	Podává se k obnově průmyslového vzoru žádost?	7
166	Jak udržet ochrannou známku v platnosti?	7
167	Jak udržovat ochrannou známku v platnosti?	7
168	Jak prodloužit ochrannou známku?	7
169	Jak obnovit ochrannou známku?	7
170	poplatky za udržování ochranné známky v platnosti	7
171	poplatek za udržování ochranné známky v platnosti	7
172	Podává se k prodloužení ochranné známky žádost?	7
173	Podává se k obnově ochranné známky žádost?	7
174	Kde najdu informace k prodloužení platnosti?	7
175	Kde najdu informace k obnove platnosti?	7
176	Kdy se hradí udržovací poplatek patentu?	7
177	Jak se prodlužuje platnost zápisu ochranné známky?	7
178	Je možné změnit přihlašovatele přihlášky nebo majitele průmyslového práva?	8
179	Jaký je postup pro změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
180	Co je potřeba k žádosti o změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
181	poplatek spojený s převodem průmyslového práva?	8
182	Jaká je výše poplatku za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
183	jaký je poplatek za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
184	Může dojít k nabytí práva na základě jiných skutečností než projevu vůle?	8
185	Je přechod práva zpoplatněn?	8
186	Jak změnit přihlašovatele průmyslového práva?	8
187	Jak změnit majitele průmyslového práva?	8
188	Kdy je převod práva účinným?	8
189	Je potřeba pro převod práva nějaký formulář?	8
190	Je podává se pro převod práva nějaký formulář?	8
191	Co je licence?	9
192	Jak je možné získat licenci?	9
193	Co se předkládá k žádosti o zápis licence?	9
194	Co je třeba přiložit k žádosti o zápis licence?	9
195	Kolik stojí zápis licence?	9
196	poplatek za zápis licence?	9
197	Jaký je postup při žádosti o zápis licence?	9
198	Co je prohlášení o nabídce licence?	9
199	Co znamená prohlášení o nabídce licence?	9
200	prohlášení o nabídce licence	9
201	Kdo má právo nahlížet do spisu?	10
202	Jak nahlížet do spisu?	10
203	Jak nahlédnout do spisu?	10
204	Co je důvodem pro nahlédnutí do spisu?	10
205	Jaký je postup pro nahlížení do spisu?	10
206	Kdo může nahlížet do spisu?	10
207	Kdo je oprávněn nahlížet do spisu?	10
208	žádost o nahlížení do spisu	10
209	nahlížení do spisu	10
210	jak postupovat při nahlížení do spisu?	10
211	Jak požádat o výpis.	11
212	Co uvést v žádosti o výpis z rejstříku?	11
213	jak požádat o opis?	11
214	Jaký je rozdíl mezi aktuálním a úplným výpisem?	11
215	Jaký je poplatek za výpis a opis?	11
216	Kdo může požádat o opis listiny?	11
217	Co obsahuje opis?	11
218	Co je prioritní doklad?	11
219	K čemu slouží prioritní doklad?	11
220	osvědčení o zápisu	11
221	opis patentové listiny	11
222	Je možné se odvolat proti rozhodnutí Úřadu?	12
223	Můžu se odvolat proti rozhodnutí Úřadu?	12
224	Jaká je lhůta pro podání rozkladu?	12
225	Jaký je postup, pokud nesouhlasím s rozhodnutím Úřadu?	12
226	Lze proti rozhodnutí Úřadu podat rozklad?	12
227	je možné proti rozhodnutí Úřadu podat rozklad?	12
228	můžu proti rozhodnutí Úřadu podat rozklad?	12
229	Je možné podat odvolání?	12
230	Můžu se odvolat proti rozhodnutí Úřadu i po zmeškané lhůtě?	12
231	odvolání	12
232	rozklad	12
233	opravné řízení proti rozhodnutí Úřadu	12
234	Jak podat odvolání ?	12
235	Jak podat rozklad?	12
236	Co mám dělat, pokud dojde k porušení mého patentu ?	13
237	Co můžu dělat, pokud dojde k porušení mého patentu ?	13
238	Co mám dělat, pokud dojde k porušení mého práva?	13
239	Co můžu dělat, pokud dojde k porušení mého práva?	13
240	Jaké jsou možnosti , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
241	co mám dělat , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
242	jak postupovat, pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
243	Jaké jsou možnosti , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
244	co mám dělat , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
245	jak postupovat, když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
246	neoprávněný zásah do práv	13
247	Kdo může vymáhat práva z průmyslového vlastnictví?	13
248	Kdo je oprávněn vymáhat práva z průmyslového vlastnictví?	13
249	Kde mohu najít informace o vymáhání práv?	13
250	Kde najdu informace o vymáhání práv?	13
251	Na koho se mohu obrátit, při porušování práv duševního vlastnictví?	13
252	Na koho se mám obrátit, při porušování práv duševního vlastnictví?	13
253	Na koho se mohu obrátit, při porušení práv duševního vlastnictví?	13
254	Na koho se mám obrátit, při porušení práv duševního vlastnictví?	13
255	Kam se obrátit při porušování práv z duševního vlastnictví?	13
256	Kam se obrátit při porušení práv z duševního vlastnictví?	13
257	vymáhání práv	13
258	Kdo může požadovat náhradu škody v případě porušení průmyslových práv?	13
259	Kdo je oprávněn požadovat náhradu škody v případě porušení průmyslových práv?	13
260	náhrada škody	13
261	porušení práv	13
262	porušení práv z průmyslového vlastnictví	13
263	neoprávněný zásah do práv z duševního vlastnictví	13
264	Může Úřad rozhodnout o sporu týkajícího se patentu ?	14
265	Může Úřad rozhodnout o sporu o patent?	14
266	Může Úřad rozhodnout o sporu ohledně patentu?	14
267	Jak postupovat v případě sporu o využití patentu nebo užitného vzoru?	14
268	Jak se postupuje v případě sporu o využití patentu nebo užitného vzoru?	14
269	spor o patent	14
270	spor v případě patentu	14
271	spor o využití patentu	14
272	spor o patentu	14
273	spor týkající se patentu	14
274	spor o užitný vzor	14
275	spor v případě užitného vzoru	14
276	spor o využití užitného vzoru	14
277	spor týkající se užitného vzoru	14
278	Co dělat v případě sporu o patent ?	14
279	Jak postupovat v případě sporu o patent ?	14
280	Co dělat v případě sporu o užitný vzor?	14
281	Jak postupovat v případě sporu o užitný vzor?	14
282	Jak může Úřad pomoci ve sporu o patent ?	14
283	Jak může Úřad pomoci ve sporu o užitný vzor ?	14
284	Jak může Úřad pomoci ve sporu týkajícím se patentu ?	14
285	Jak může Úřad pomoci ve sporu týkajícím se užitného vzoru ?	14
286	možnosti ve sporu	14
287	Kde najdu informace o postupu v případě sporu?	14
288	Kde najít informace o postupu v případě sporu?	14
289	spor	14
290	definice ochranné známky?	15
291	Co může být považováno za ochrannou známku?	15
292	Co je ochranná známka?	15
293	Co je funkcí ochranné známky?	15
294	ochranná známka	15
295	Jaké prvky mohou tvořit ochrannou známku?	15
296	Jaké prvky tvoří ochrannou známku?	15
297	prvky ochranné známky	15
298	"Co se myslí termínem ""ochranná známka""?"	15
299	K čemu slouží ochranná známka?	15
300	odlišení výrobků a služeb od konkurence	15
301	Existují databáze se seznamem starších ochranných známek?	16
302	kde najdu starší ochranné známky?	16
303	Jak začít, když chci zapsat ochrannou známku?	16
304	Kde začít, když chci zapsat ochrannou známku?	16
305	Jak začít, když chci registrovat ochrannou známku?	16
306	Kde začít, když chci registrovat ochrannou známku?	16
307	Můžu si nechat provést rešerši před podáním přihlášky ochranné známky?	16
308	můžu si objednat rešerši ochranné známky?	16
309	Jakou urychlit rešerši?	16
310	expresní rešerše ochranné známky	16
311	Jakým způsobem mohu objednat rešeršní služby Úřadu?	16
312	Jak objednám rešerši ochranné známky?	16
313	poplatek za rešerši ochranné známky?	16
314	ceník rešeršních služeb	16
315	ceník pro rešeršní služby Úřadu?	16
316	Jaký je správní poplatek za přijetí přihlášky ochranné známky?	17
317	Jaké jsou náklady na registraci kolektivní ochranné známky?	17
318	poplatek za podání přihlášky ochranné známky	17
319	poplatky za podání přihlášky ochranné známky	17
320	ceník za podání přihlášky ochranné známky	17
321	Jak mohu zaplatit správní poplatek za podání přihlášky ochranné známky?	17
322	Jak lze zaplatit správní poplatek za podání přihlášky ochranné známky?	17
323	Existují nějaké slevy na správní poplatek při elektronickém podání ochranné známky?	17
324	poplatek za podání žádosti o obnovu platnosti ochranné známky?	17
325	Jak dlouho platí ochranná známka?	17
326	Jak dlouho je platná ochranná známka?	17
327	Jak mohu prodloužit platnost ochranné známky?	17
328	Jak je možné prodloužit platnost ochranné známky?	17
329	Kde mohu najít databázi ochranných známek?	18
330	Kde lze najít databázi ochranných známek?	18
331	Má Úřad veřejně dostupnou databázi ochranných známek?	18
332	Jakým způsobem mohu prohledávat ochranné známky?	18
333	Jak mohu prohledávat ochranné známky?	18
334	Kde najdu přehled ochranných známek?	18
335	Jak zjistím , zda moje značka je již registrována?	18
336	Jak  mohu zjistit, zda moje značka je již registrována?	18
337	Jak zjistím , jestli moje značka je již registrována?	18
338	Jak  mohu zjistit, jestli moje značka je již registrována?	18
339	Jak zjistím , že moje značka je již registrována?	18
340	Jak  mohu zjistit, že moje značka je již registrována?	18
341	Kde mohu nalézt ochranné známky Evropské unie?	18
342	Kde najdu ochranné známky Evropské unie?	18
343	Kde jsou ochranné známky Evropské unie?	18
344	Kde můžu najít ochranné známky Evropské unie?	18
345	Jak se mohu podívat na ochranné známky registrované v zahraničí?	18
346	kde se mohu podívat na ochranné známky registrované v zahraničí?	18
347	Jak  najdu ochranné známky registrované v zahraničí?	18
348	kde najdu ochranné známky registrované v zahraničí?	18
349	Jak  najít ochranné známky registrované v zahraničí?	18
350	kde najít ochranné známky registrované v zahraničí?	18
351	zahraniční databáze ochranných známek	18
352	rešeršní databázi ochranných známek?	18
353	rešeršní databáze ochranných známek?	18
354	Jaké rešeršní služby ochranných známek poskytuje Úřad?	19
355	typy rešerší ochranných známek provádí úřad	19
356	jak podat žádost o rešerši ochranné známky u Úřadu?	19
357	Jak dlouho trvá zpracování rešerše ochranné známky Úřadem?	19
358	jak objednat rešerši ochranné známky?	19
359	Kolik stojí rešerše ochranné známky?	19
360	Jaký je postup pro objednání písemné rešerše u Úřadu?	19
361	Co jsou to historické rešerše ochranných známek?	19
362	Co je rešerše na slovní označení?	19
363	Co zahrnuje rešerše na slovní označení?	19
364	Jak přihlásit mezinárodní ochranné známky?	20
365	Jak podat přihlášku mezinárodní ochranné známky?	20
366	Jak postupovat při zápisu mezinárodní ochranné známky?	20
367	Kdo může podat žádost o mezinárodní zápis ochranné známky?	20
368	mezinárodní ochranná známka	20
369	obnovení mezinárodní ochranné známky	20
370	Kde můžu najít informace o mezinárodní ochranné známce?	20
371	Kde mohu najít informace o mezinárodní ochranné známce?	20
372	Kde najdu informace o mezinárodní ochranné známce?	20
373	Kde jsou informace o mezinárodní ochranné známce?	20
374	Jak funguje mezinárodní zápis ochranných známek?	20
375	Co je Protokol k Madridské dohodě ?	20
376	Co je Madrid?	20
377	Kde přihlásit mezinárodní ochrannou známku?	20
378	Je možné přihlásit českou ochrannou známku jako mezinárodní?	20
379	doba ochrany mezinárodní ochranné známky	20
380	Kde můžu najít informace o přihlašování ochranných známek EU ?	21
381	Kde najdu informace o přihlašování ochranných známek EU ?	21
382	Kde jsou informace o přihlašování ochranných známek EU ?	21
383	Kde můžu najít informace o přihlašování ochranných známek Evropské unie?	21
384	Kde najdu informace o přihlašování ochranných známek Evropské unie?	21
385	Kde jsou informace o přihlašování ochranných známek Evropské unie?	21
386	informace ochranných známkách v EU	21
387	informace ochranných známkách v Evropské unii	21
388	registrace evropských ochranných známek EU	21
389	registrace evropských ochranných známek Evropské unie	21
390	přihlašování ochranných známek EU	21
391	přihlašování ochranných známek Evropské unie	21
392	přihláška ochranné známky EU	21
393	registrace ochranné známky EU	21
394	přihláška ochranné známky Evropské unie	21
395	registrace ochranné známky Evropské unie	21
396	Jak se lze dozvědět více o ochraně duševního vlastnictví v EU ?	21
397	Jak se lze dozvědět více o ochraně duševního vlastnictví v Evropské unii?	21
398	Kde mohu najít pokyny k přihlášení ochranné známky v EU ?	21
399	Kde najdu pokyny k přihlášení ochranné známky v EU ?	21
400	Kde jsou pokyny k přihlášení ochranné známky v EU ?	21
401	Kde mohu najít pokyny k přihlášení ochranné známky v Evropské unii?	21
402	Kde najdu pokyny k přihlášení ochranné známky v Evropské unii?	21
403	Kde jsou pokyny k přihlášení ochranné známky v Evropské unii?	21
404	Kdo poskytuje informace o přihlášení ochranných známek v EU ?	21
405	Kdo poskytuje informace o přihlášení ochranných známek v Evropské unii?	21
406	podmínky pro prodloužení platnosti ochranné známky	22
407	Jaký je proces pro prodloužení platnosti ochranné známky?	22
408	Jak postupovat při prodloužení platnosti ochranné známky?	22
409	Jak podat žádost o prodloužení platnosti ochranné známky?	22
410	Jaká je délka ochrany ochranné známky?	22
411	Co je třeba udělat k obnově platnosti ochranné známky?	22
412	Co mám udělat k obnově platnosti ochranné známky?	22
413	délka ochrany ochranné známky	22
414	platnost ochranné známky	22
415	prodloužení zápisu ochranné známky	22
416	obnova platnosti ochranné známky	22
417	Kde mohu najít informace o druzích ochranných známek?	23
418	Kde najdu informace o druzích ochranných známek?	23
419	Kde jsou informace o druzích ochranných známek?	23
420	druhy ochranných známek	23
421	formáty ochranných známek	23
422	Kde mohu najít informace o formátech ochranných známek?	23
423	Kde najdu informace o formátech ochranných známek?	23
424	Kde jsou informace o formátech ochranných známek?	23
425	Můžete mi poradit, kde najdu informace o ochranných známkách?	23
426	podání přihlášky ochranné známky	24
427	Jakým způsobem mám podat přihlášku ochranné známky?	24
428	Jakým způsobem mohu podat přihlášku ochranné známky?	24
429	Jakým způsobem můžu podat přihlášku ochranné známky?	24
430	Jakým způsobem je možné podat přihlášku ochranné známky?	24
431	Kde lze najít formulář přihlášky ochranné známky?	24
432	Kde mohu najít formulář přihlášky ochranné známky?	24
433	Kde můžu najít formulář přihlášky ochranné známky?	24
434	snížení poplatku při podání přihlášky ochranné známky elektronicky	24
435	sleva na poplatku při podání přihlášky ochranné známky elektronicky	24
436	přihláška ochranné známky	24
437	Je možné podání přihlášky ochranné známky do datové schránky Úřadu?	24
438	zápis ochranné známky	24
439	formulář přihlášky ochranné známky	24
440	Jaké jsou náležitosti přihlášky ochranné známky?	25
441	Co musí obsahovat přihláška ochranné známky?	25
442	Co by měla obsahovat přihláška ochranné známky?	25
443	Co jsou součástí přihlášky ochranné známky?	25
444	Jaké informace jsou součástí přihlášky ochranné známky?	25
445	Co  musí být součástí přihlášky ochranné známky?	25
446	Jaké informace musí být součástí přihlášky ochranné známky?	25
447	Co je nutné mít v přihlášce ochranné známky?	25
448	Co je potřeba mít v přihlášce ochranné známky?	25
449	Co je nutné  uvést v přihlášce ochranné známky?	25
450	Co je potřeba uvést v přihlášce ochranné známky?	25
451	Co je nutné  vyplnit v přihlášce ochranné známky?	25
452	Co je potřeba vyplnit v přihlášce ochranné známky?	25
453	Jaké údaje musí být vyplněny v přihlášce ochranné známky?	25
454	Jaké údaje musí být uvedeny v přihlášce ochranné známky?	25
455	požadavky na přihlášku ochranné známky	25
456	Co vše musím uvést v přihlášce ochranné známky?	25
457	Co vše musím vyplnit v přihlášce ochranné známky?	25
458	Co musí přihláška ochranné známky obsahovat?	25
459	Co by měla přihláška ochranné známky obsahovat?	25
460	Jakým způsobem se má vyplnit přihláška ochranné známky?	25
461	Jakým způsobem vyplnit přihláška ochranné známky?	25
462	Jakým způsobem se vyplňuje přihláška ochranné známky?	25
463	Co vše je potřeba pro podání přihlášky ochranné známky?	25
464	Co vše je nutné pro podání přihlášky ochranné známky?	25
465	Co vše se vyžaduje pro podání přihlášky ochranné známky?	25
466	Jaký je průběh řízení po podání přihlášky ochranné známky?	26
467	Jaký je průběh řízení při podání přihlášky ochranné známky?	26
468	průzkum přihlášky ochranné známky	26
469	přezkum přihlášky ochranné známky	26
470	Co se stane, pokud má přihláška ochranné známky vady?	26
471	vady přihlášky ochranné známky	26
472	věcný průzkum přihlášky ochranné známky	26
473	formální průzkum přihlášky ochranné známky	26
474	vyloučení označení ze zápisu do rejstříku	26
475	Kdo může podat přihlášku ochranné známky?	26
476	Kdo je oprávněn podat přihlášku ochranné známky?	26
477	Jaké kroky následují po zveřejnění přihlášky ochranné známky ve Věstníku?	26
478	Co následuje po zveřejnění přihlášky ochranné známky ve Věstníku?	26
479	Co je zasláno vlastník ochranné známky po jejím zápisu?	26
480	Jaký dokument je zasláno vlastník ochranné známky po jejím zápisu?	26
481	Co  je zaslán vlastník ochranné známky po jejím zápisu?	26
482	Jaký dokument je zaslán vlastník ochranné známky po jejím zápisu?	26
483	Co  obdrží vlastník ochranné známky po jejím zápisu?	26
484	Jaký dokument obdrží vlastník ochranné známky po jejím zápisu?	26
485	Co  dostane vlastník ochranné známky po jejím zápisu?	26
486	Jaký dokument dostane vlastník ochranné známky po jejím zápisu?	26
